NIST Atomic Spectra Database Lines Data
Br : 516 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 75000 

Query NIST Bibliographic Databases for 
Br (new window) 
Br Energy Levels  
Br Line Wavelengths and Classification  
Br Transition Probabilities  

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed  |      Ritz    |   Rel. |    Aki    | Acc. |         Ei           Ek         |    Configurations     |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |   Line  |
          |   Wavelength |   Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |                       |            |           |         |    |   Ref. |   Ref.  |
          |    Vac (nm)  |    Vac (nm)  |   (?)  |           |      |                                 |                       |            |           |         |    |        |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Br IV     |     60.3674  |     60.368+  |    900 |           |      |     2.00735    -     22.54529   |   4s2.4p2 - 4s2.4p.5s |  1D  - 3P  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br IV     |     60.5778  |     60.577+  |    900 |           |      |     2.00735    -     22.47452   |   4s2.4p2 - 4s2.4p.4d |  1D  - 1P  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br IV     |     60.7031  |     60.704+  |   1000 |           |      |     0.32509    -     20.74957   |   4s2.4p2 - 4s2.4p.4d |  3P  - 3D  |   1 - 1   |  3 - 3  |    |        |  L1157  |
Br IV     |     61.0540  |     61.053+  |    500 |           |      |     0.69579    -     21.00336   |   4s2.4p2 - 4s2.4p.4d |  3P  - 3D  |   2 - 2   |  5 - 5  |    |        |  L1157  |
Br IV     |     61.0640  |     61.065+  |    400 |           |      |     2.00735    -     22.31092   |   4s2.4p2 - 4s2.4p.4d |  1D  - 3P  |   2 - 1   |  5 - 3  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br III    |     61.11    |              |    450 |           |      |                                 |                       |            |           |         |    |        |  L7483  |
Br IV     |     61.7851  |     61.785+  |   1000 |           |      |     2.00735    -     22.07431   |   4s2.4p2 - 4s2.4p.4d |  1D  - 1F  |   2 - 3   |  5 - 7  |    |        |  L1157  |
Br IV     |     61.8261  |     61.826+  |    900 |           |      |     0.69579    -     20.74957   |   4s2.4p2 - 4s2.4p.4d |  3P  - 3D  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br IV     |     61.9871  |     61.989+  |   1000 |           |      |     0.0000     -     20.00101   |   4s2.4p2 - 4s.4p3    |  3P  - 3S  |   0 - 1   |  1 - 3  |    |        |  L1157  |
Br III    |     62.04    |              |    300 |           |      |                                 |                       |            |           |         |    |        |  L7483  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br V      |     62.103   |              |    800 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br IV     |     62.3234  |     62.320+  |   700? |           |      |     0.32509    -     20.21978   |   4s2.4p2 - 4s2.4p.4d |  3P  - 3F  |   1 - 2   |  3 - 5  |    |        |  L1157  |
Br IV     |     62.5903  |     62.553+  |    750 |           |      |     2.00735    -     21.82802   |   4s2.4p2 - 4s2.4p.4d |  1D  - 3P  |   2 - 2   |  5 - 5  |    |        |  L1157  |
Br IV     |     63.0135  |     63.013+  |   1000 |           |      |     0.32509    -     20.00101   |   4s2.4p2 - 4s.4p3    |  3P  - 3S  |   1 - 1   |  3 - 3  |    |        |  L1157  |
Br V      |     63.222   |              |    800 |           |      |                                 |                       |            |           |         |    |        |   L930  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br IV     |     63.5035  |     63.504+  |    700 |           |      |     0.69579    -     20.21978   |   4s2.4p2 - 4s2.4p.4d |  3P  - 3F  |   2 - 2   |  5 - 5  |    |        |  L1157  |
Br IV     |     63.7437  |     63.744+  |    900 |           |      |     0.69579    -     20.14619   |   4s2.4p2 - 4s.4p3    |  3P  - 1P  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br IV     |     64.2227  |     64.223+  |   1000 |           |      |     0.69579    -     20.00101   |   4s2.4p2 - 4s.4p3    |  3P  - 3S  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br V      |     64.544   |              |    700 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br IV     |     64.9773  |     64.977+  |    700 |           |      |     0.69579    -     19.77705   |   4s2.4p2 - 4s2.4p.4d |  3P  - 3F  |   2 - 3   |  5 - 7  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br V      |     65.264   |              |    400 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br IV     |     65.2667  |     65.269+  |    400 |           |      |     2.00735    -     21.00336   |   4s2.4p2 - 4s2.4p.4d |  1D  - 3D  |   2 - 2   |  5 - 5  |    |        |  L1157  |
Br V      |     65.754   |              |    800 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br IV     |     66.1528  |     66.152+  |   1000 |           |      |     2.00735    -     20.74957   |   4s2.4p2 - 4s2.4p.4d |  1D  - 3D  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br III    |     66.554   |              |    500 |           |      |                                 |                       |            |           |         |    |        |   L773  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br III    |     67.719   |              |    500 |           |      |                                 |                       |            |           |         |    |        |   L773  |
Br III    |     67.78    |              |    300 |           |      |                                 |                       |            |           |         |    |        |  L7483  |
Br V      |     67.962   |              |    800 |           |      |                                 |                       |            |           |         |    |        |   L930  |
Br IV     |     68.0784  |     68.077+  |    800 |           |      |     2.00735    -     20.21978   |   4s2.4p2 - 4s2.4p.4d |  1D  - 3F  |   2 - 2   |  5 - 5  |    |        |  L1157  |
Br IV     |     68.3510  |     68.353+  |   1000 |           |      |     2.00735    -     20.14619   |   4s2.4p2 - 4s.4p3    |  1D  - 1P  |   2 - 1   |  5 - 3  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br III    |     68.768   |              |    450 |           |      |                                 |                       |            |           |         |    |        |   L773  |
Br IV     |     68.9045  |     68.904+  |    700 |           |      |     2.00735    -     20.00101   |   4s2.4p2 - 4s.4p3    |  1D  - 3S  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br III    |     69.02    |              |    400 |           |      |                                 |                       |            |           |         |    |        |  L7483  |
Br III    |     69.699   |              |    350 |           |      |                                 |                       |            |           |         |    |        |   L773  |
Br IV     |     69.7723  |     69.773+  |   1000 |           |      |     2.00735    -     19.77705   |   4s2.4p2 - 4s2.4p.4d |  1D  - 3F  |   2 - 3   |  5 - 7  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br IV     |     70.3866  |     70.387+  |    700 |           |      |     0.0000     -     17.61463   |   4s2.4p2 - 4s.4p3    |  3P  - 3P  |   0 - 1   |  1 - 3  |    |        |  L1157  |
Br II     |     71.168   |              |    300 |           |      |                                 |                       |            |           |         |    |        |  L7484  |
Br IV     |     71.5385  |     71.537+  |   1000 |           |      |     0.32509    -     17.65654   |   4s2.4p2 - 4s.4p3    |  3P  - 3P  |   1 - 2   |  3 - 5  |    |        |  L1157  |
Br IV     |     71.7098  |     71.710+  |    500 |           |      |     0.32509    -     17.61463   |   4s2.4p2 - 4s.4p3    |  3P  - 3P  |   1 - 1   |  3 - 3  |    |        |  L1157  |
Br IV     |     72.2956  |     72.295+  |    200 |           |      |     0.69579    -     17.84552   |   4s2.4p2 - 4s.4p3    |  3P  - 1D  |   2 - 2   |  5 - 5  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br III    |     72.70    |              |    300 |           |      |                                 |                       |            |           |         |    |        |  L7483  |
Br IV     |     72.9570  |     72.950+  |    800 |           |      |     0.32509    -     17.32088   |   4s2.4p2 - 4s.4p3    |  3P  - 3P  |   1 - 0   |  3 - 1  |    |        |  L1157  |
Br IV     |     73.1001  |     73.101+  |   1000 |           |      |     0.69579    -     17.65654   |   4s2.4p2 - 4s.4p3    |  3P  - 3P  |   2 - 2   |  5 - 5  |    |        |  L1157  |
Br IV     |     73.2830  |     73.282+  |    750 |           |      |     0.69579    -     17.61463   |   4s2.4p2 - 4s.4p3    |  3P  - 3P  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br III    |     73.64    |              |    300 |           |      |                                 |                       |            |           |         |    |        |  L7483  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br IV     |     75.7633  |     75.761+  |    400 |           |      |    10.4213     -     26.78647   |    4s.4p3 - 4s2.4p.5p |  5S  - 3D  |   2 - 1   |  5 - 3  |    |        |  L1157  |
Br III    |     76.963   |              |    250 |           |      |                                 |                       |            |           |         |    |        |   L773  |
Br IV     |     78.2808  |     78.282+  |    700 |           |      |     2.00735    -     17.84552   |   4s2.4p2 - 4s.4p3    |  1D  - 1D  |   2 - 2   |  5 - 5  |    |        |  L1157  |
Br IV     |     78.3940  |     78.466+  |    900 |           |      |     0.0000     -     15.80100   |   4s2.4p2 - 4s.4p3    |  3P  - 3D  |   0 - 1   |  1 - 3  |    |        |  L1157  |
Br IV     |     79.2261  |     79.227+  |    300 |           |      |     2.00735    -     17.65654   |   4s2.4p2 - 4s.4p3    |  1D  - 3P  |   2 - 2   |  5 - 5  |    |        |  L1157  |
          |              |              |        |           |      |                                 |                       |            |           |         |    |        |         |
Br IV     |     80.0122  |     80.013+  |   1000 |           |      |     0.32509    -     15.82064   |   4s2.4p2 - 4s.4p3    |  3P  - 3D  |   1 - 2   |  3 - 5  |    |        |  L1157  |
Br IV     |     80.1145  |     80.114+  |    800 |           |      |     0.32509    -     15.80100   |   4s2.4p2 - 4s.4p3    |  3P  - 3D  |   1 - 1   |  3 - 3  |    |        |  L1157  |
Br V      |     81.295   |              |    700 |           |      |                                 |                       |            |           |         |    |        |   L930  |
