NIST Atomic Spectra Database Lines Data
Ti : 4289 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 12000 

Query NIST Bibliographic Databases for 
Ti (new window) 
Ti Energy Levels  
Ti Line Wavelengths and Classification  
Ti Transition Probabilities  

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |            Ritz    |   Rel. |    Aki    | Acc. |               Ei           Ek               |                        Configurations                        |           Terms          |   Ji   Jk   | gi   gk |Type|          TP  |          Line  |
          |         Wavelength |         Wavelength |   Int. |    s^-1   |      |              (eV)         (eV)              |                                                              |                          |             |         |    |         Ref. |          Ref.  |
          |          Vac (nm)  |          Vac (nm)  |   (?)  |           |      |                                             |                                                              |                          |             |         |    |              |                |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Ti XXI    |                    |         0.25060    |        | 3.5e+13   | D    |   [4733.7933]        -    [9681.31]         |                         1s.2p - 2p2                          |         3P* - 1D         |    2 - 2    |  5 - 5  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.25079    |        | 1.4e+14   | C    |   [4701.9616]        -    [9645.72]         |                         1s.2s - 2s.2p                        |         3S  - 3P*        |    1 - 2    |  3 - 5  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.25089    |        | 7.9e+13   | D    |   [4726.9295]        -    [9668.78]         |                         1s.2p - 2p2                          |         3P* - 3P         |    1 - 2    |  3 - 5  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.25105    |        | 9.6e+13   | C    |   [4725.6277]        -    [9664.32]         |                         1s.2p - 2p2                          |         3P* - 3P         |    0 - 1    |  1 - 3  |    |        T3506 |        L11926  |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XXI    |                    |         0.25111    |        | 6.9e+13   | C    |   [4726.9295]        -    [9664.32]         |                         1s.2p - 2p2                          |         3P* - 3P         |    1 - 1    |  3 - 3  |    |        T3506 |        L11926  |
Ti XXI    |                    |         0.25116    |        | 1.4e+14   | C    |   [4701.9616]        -    [9638.41]         |                         1s.2s - 2s.2p                        |         3S  - 3P*        |    1 - 1    |  3 - 3  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.25123    |        | 1.8e+14   | C    |   [4733.7933]        -    [9668.78]         |                         1s.2p - 2p2                          |         3P* - 3P         |    2 - 2    |  5 - 5  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.25130    |        | 1.4e+14   | C    |   [4701.9616]        -    [9635.68]         |                         1s.2s - 2s.2p                        |         3S  - 3P*        |    1 - 0    |  3 - 1  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.25133    |        | 2.7e+14   | C    |   [4726.9295]        -    [9659.98]         |                         1s.2p - 2p2                          |         3P* - 3P         |    1 - 0    |  3 - 1  |    |  T4592,T3506 |        L11926  |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XXI    |                    |         0.25140    |        | 2.4e+14   | C    |   [4749.6285]        -    [9681.31]         |                         1s.2p - 2p2                          |         1P* - 1D         |    1 - 2    |  3 - 5  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.25146    |        | 1.2e+14   | C    |   [4733.7933]        -    [9664.32]         |                         1s.2p - 2p2                          |         3P* - 3P         |    2 - 1    |  5 - 3  |    |        T3506 |        L11926  |
Ti XXI    |                    |         0.25204    |        | 2.6e+13   | D    |   [4749.6285]        -    [9668.78]         |                         1s.2p - 2p2                          |         1P* - 3P         |    1 - 2    |  3 - 5  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.25227    |        |           |      |   [4749.6285]        -    [9664.32]         |                         1s.2p - 2p2                          |         1P* - 3P         |    1 - 1    |  3 - 3  |    |              |        L11926  |
Ti XXI    |                    |         0.25248    |        |           |      |   [4727.7205]        -    [9638.41]         |                         1s.2s - 2s.2p                        |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |              |        L11926  |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XXI    |                    |         0.25250    |        |           |      |   [4749.6285]        -    [9659.98]         |                         1s.2p - 2p2                          |         1P* - 3P         |    1 - 0    |  3 - 1  |    |              |        L11926  |
Ti XXI    |                    |         0.25279    |        | 1.2e+13   | D    |   [4726.9295]        -    [9631.59]         |                         1s.2p - 2s2                          |         3P* - 1S         |    1 - 0    |  3 - 1  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.25396    |        | 4.1e+13   | D    |   [4749.6285]        -    [9631.59]         |                         1s.2p - 2s2                          |         1P* - 1S         |    1 - 0    |  3 - 1  |    |  T4592,T3506 |        L11926  |
Ti XXI    |                    |         0.26105    |        | 2.40e+14  | B    |       0.00           -    [4749.6285]       |                           1s2 - 1s.2p                        |         1S  - 1P*        |    0 - 1    |  1 - 3  |    |        T3585 |                |
Ti XX     |                    |         0.26160    |        |           |      |      40.1115         -    [4779.6]          |                        1s2.2p - 1s.(2S).2p2.(1S)             |         2P* - 2S         |  1/2 - 1/2  |  2 - 2  |    |              |        L11926  |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XXI    |                    |         0.26192    |        | 1.69e+09  | B    |       0.00           -    [4733.7933]       |                           1s2 - 1s.2p                        |         1S  - 3P*        |    0 - 2    |  1 - 5  | M2 |        T1115 |                |
Ti XX     |                    |         0.26202    |        | 1.1e+14   | C    |      47.8165         -    [4779.6]          |                        1s2.2p - 1s.(2S).2p2.(1S)             |         2P* - 2S         |  3/2 - 1/2  |  4 - 2  |    |        T4731 |                |
Ti XX     |                    |         0.26204    |        |           |      |       0.00           -    [4731.48]         |                        1s2.2s - 1s.(2S).2s.2p.(1P*)          |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |              |        L11926  |
Ti XX     |                    |         0.26213    |        |           |      |       0.00           -    [4729.87]         |                        1s2.2s - 1s.(2S).2s.2p.(1P*)          |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |              |        L11926  |
Ti XXI    |                    |         0.26229    |        | 1.12e+13  | B    |       0.00           -    [4726.9295]       |                           1s2 - 1s.2p                        |         1S  - 3P*        |    0 - 1    |  1 - 3  |    |        T3585 |                |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XX     |                    |         0.26259    |        |           |      |      40.1115         -    [4761.61]         |                        1s2.2p - 1s.(2S).2p2.(3P)             |         2P* - 2P         |  1/2 - 3/2  |  2 - 4  |    |              |        L11926  |
Ti XX     |                    |         0.26279    |        | 4.9e+12   | D    |       0.00           -    [4717.97]         |                        1s2.2s - 1s.(2S).2s.2p.(3P*)          |         2S  - 2P*        |  1/2 - 3/2  |  2 - 4  |    |        T4731 |                |
Ti XX     |                    |         0.26302    |        | 6.1e+13   | C    |       0.00           -    [4713.9]          |                        1s2.2s - 1s.(2S).2s.2p.(3P*)          |         2S  - 2P*        |  1/2 - 1/2  |  2 - 2  |    |        T4731 |                |
Ti XX     |                    |         0.26302    |        | 3.2e+14   | C    |      47.8165         -    [4761.61]         |                        1s2.2p - 1s.(2S).2p2.(3P)             |         2P* - 2P         |  3/2 - 3/2  |  4 - 4  |    |        T4731 |                |
Ti XX     |                    |         0.26306    |        |           |      |      40.1115         -    [4753.31]         |                        1s2.2p - 1s.(2S).2p2.(3P)             |         2P* - 2P         |  1/2 - 1/2  |  2 - 2  |    |              |        L11926  |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
Ti XX     |                    |         0.26319    |        | 1.5e+14   | C    |      40.1115         -    [4750.83]         |                        1s2.2p - 1s.(2S).2p2.(1D)             |         2P* - 2D         |  1/2 - 3/2  |  2 - 4  |    |        T4731 |                |
Ti XX     |                    |         0.26349    |        |           |      |      47.8165         -    [4753.31]         |                        1s2.2p - 1s.(2S).2p2.(3P)             |         2P* - 2P         |  3/2 - 1/2  |  4 - 2  |    |              |        L11926  |
Ti XX     |                    |         0.26355    |        | 1.2e+14   | C    |      47.8165         -    [4752.3]          |                        1s2.2p - 1s.(2S).2p2.(1D)             |         2P* - 2D         |  3/2 - 5/2  |  4 - 6  |    |        T4731 |                |
Ti XX     |                    |         0.26363    |        |           |      |      47.8165         -    [4750.83]         |                        1s2.2p - 1s.(2S).2p2.(1D)             |         2P* - 2D         |  3/2 - 3/2  |  4 - 4  |    |              |        L11926  |
Ti XXI    |                    |         0.26369    |        | 3.85e+07  | B    |       0.00           -    [4701.9616]       |                           1s2 - 1s.2s                        |         1S  - 3S         |    0 - 1    |  1 - 3  | M1 |        T1115 |                |
          |                    |                    |        |           |      |                                             |                                                              |                          |             |         |    |              |                |
