NIST Atomic Spectra Database Lines Data
P : 754 Lines of Data Found  Example of how to reference these results:
Ralchenko, Yu., Kramida, A.E., Reader, J., and NIST ASD Team (2011). NIST Atomic 
Spectra Database (ver. 4.1.0), [Online]. Available: http://physics.nist.gov/asd 
[2012, June 22]. National Institute of Standards and Technology, Gaithersburg, 
MD.  
Wavelength in: vacuum 
Highest relative intensity: 1700 

Query NIST Bibliographic Databases for 
P (new window) 
P Energy Levels  
P Line Wavelengths and Classification  
P Transition Probabilities  

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |           Ritz    |  Rel. |    Aki    | Acc. |              Ei           Ek              |          Configurations           |    Terms   |  Ji   Jk  | gi   gk |Type|             TP  |   Line  |
          |        Wavelength |        Wavelength |  Int. |    s^-1   |      |             (eV)         (eV)             |                                   |            |           |         |    |            Ref. |   Ref.  |
          |         Vac (nm)  |         Vac (nm)  |  (?)  |           |      |                                           |                                   |            |           |         |    |                 |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
P XI      |                   |          23.4260  |       | 1.30e+10  | D+   |      0.00           -      52.9260        |          2s2.2p - 2s.2p2          |  2P* - 2P  | 1/2 - 1/2 |  2 - 2  |    |          T833LS |         |
P X       |                   |          23.526   |       | 2.20e+10  | D    |      7.4006         -      60.1013        |         2s2.2p2 - 2s.2p3          |  1D  - 1D* |   2 - 2   |  5 - 5  |    |            T833 |         |
P XI      |                   |          23.6708  |       | 1.60e+10  | D+   |      1.203          -      53.5810        |          2s2.2p - 2s.2p2          |  2P* - 2P  | 3/2 - 3/2 |  4 - 4  |    |          T833LS |         |
P X       |                   |          23.695   |       | 7.6e+09   | D    |     14.8731         -      67.1982        |         2s2.2p2 - 2s.2p3          |  1S  - 1P* |   0 - 1   |  1 - 3  |    |            T833 |         |
P XI      |                   |          23.9706  |       | 6.1e+09   | E    |      1.203          -      52.9260        |          2s2.2p - 2s.2p2          |  2P* - 2P  | 3/2 - 1/2 |  4 - 2  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P VIII    |                   |          24.4555  |       | 8.3e+09   | D    |      0.00           -      50.6979        |         2s2.2p4 - 2s.2p5          |  3P  - 3P* |   2 - 1   |  5 - 3  |    |          T833LS |         |
P VIII    |                   |          24.6320  |       | 1.90e+10  | D    |      0.7141         -      51.0488        |         2s2.2p4 - 2s.2p5          |  3P  - 3P* |   1 - 0   |  3 - 1  |    |          T833LS |         |
P VIII    |                   |          24.7646  |       | 1.40e+10  | D    |      0.00           -      50.0652        |         2s2.2p4 - 2s.2p5          |  3P  - 3P* |   2 - 2   |  5 - 5  |    |          T833LS |         |
P XI      |                   |          24.7941  |       | 3.8e+09   | D    |      0.00           -      50.0056        |          2s2.2p - 2s.2p2          |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |          T833LS |         |
P VIII    |                   |          24.8049  |       | 4.9e+09   | D    |      0.7141         -      50.6979        |         2s2.2p4 - 2s.2p5          |  3P  - 3P* |   1 - 1   |  3 - 3  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P VIII    |                   |          24.9324  |       | 6.1e+09   | D    |      0.9698         -      50.6979        |         2s2.2p4 - 2s.2p5          |  3P  - 3P* |   0 - 1   |  1 - 3  |    |          T833LS |         |
P IX      |                   |          25.0359  |       | 8.4e+08   | E    |      9.4099         -      58.9325        |         2s2.2p3 - 2s.2p4          |  2D* - 2D  | 3/2 - 5/2 |  4 - 6  |    |          T833LS |         |
P IX      |                   |          25.0374  |       | 1.10e+10  | D    |      9.4099         -      58.9296        |         2s2.2p3 - 2s.2p4          |  2D* - 2D  | 3/2 - 3/2 |  4 - 4  |    |          T833LS |         |
P IX      |                   |          25.0726  |       | 1.20e+10  | D    |      9.4824         -      58.9325        |         2s2.2p3 - 2s.2p4          |  2D* - 2D  | 5/2 - 5/2 |  6 - 6  |    |          T833LS |         |
P IX      |                   |          25.0741  |       | 1.3e+09   | E    |      9.4824         -      58.9296        |         2s2.2p3 - 2s.2p4          |  2D* - 2D  | 5/2 - 3/2 |  6 - 4  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P VIII    |                   |          25.1229  |       | 4.6e+09   | D    |      0.7141         -      50.0652        |         2s2.2p4 - 2s.2p5          |  3P  - 3P* |   1 - 2   |  3 - 5  |    |          T833LS |         |
P XI      |                   |          25.4050  |       | 6.8e+09   | D+   |      1.203          -      50.0056        |          2s2.2p - 2s.2p2          |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |          T833LS |         |
P V       |          25.559   |          25.5590  |    80 | 7.6e+08   | D    |      0.00           -      48.509051      |          2p6.3s - 2p6.5p          |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T1619interp,LS |  L2613  |
P V       |          25.567   |          25.5677  |    50 | 7.3e+08   | D    |      0.00           -      48.492457      |          2p6.3s - 2p6.5p          |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T1619interp,LS |  L2613  |
P XI      |                   |          26.1920  |       | 3.1e+09   | D+   |     21.9671+x       -      69.3038+x      |          2s.2p2 - 2p3             |  4P  - 4S* | 1/2 - 3/2 |  2 - 4  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P XI      |                   |          26.4340  |       | 6.3e+09   | D+   |     22.4005+x       -      69.3038+x      |          2s.2p2 - 2p3             |  4P  - 4S* | 3/2 - 3/2 |  4 - 4  |    |          T833LS |         |
P X       |                   |          26.5635  |       | 2.0e+09   | D    |      0.4577         -      47.1325        |         2s2.2p2 - 2s.2p3          |  3P  - 3P* |   1 - 2   |  3 - 5  |    |          T833LS |         |
P XI      |                   |          26.7850  |       | 8.9e+09   | D+   |     23.0152+x       -      69.3038+x      |          2s.2p2 - 2p3             |  4P  - 4S* | 5/2 - 3/2 |  6 - 4  |    |          T833LS |         |
P X       |                   |          26.9466  |       | 5.8e+09   | D    |      1.121          -      47.1325        |         2s2.2p2 - 2s.2p3          |  3P  - 3P* |   2 - 2   |  5 - 5  |    |          T833LS |         |
P XII     |                   |          27.8286  |       | 7.0e+09   | C    |      0.00           -      44.5529        |         1s2.2s2 - 1s2.2s.2p       |  1S  - 1P* |   0 - 1   |  1 - 3  |    |            T833 |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P IX      |                   |          27.8404  |       | 1.6e+09   | D    |     14.3957         -      58.9296        |         2s2.2p3 - 2s.2p4          |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |          T833LS |         |
P IX      |                   |          27.9194  |       | 2.0e+09   | D    |     14.5246         -      58.9325        |         2s2.2p3 - 2s.2p4          |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |          T833LS |         |
P IX      |                   |          27.9213  |       | 3.3e+08   | E    |     14.5246         -      58.9296        |         2s2.2p3 - 2s.2p4          |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |          T833LS |         |
P IX      |                   |          28.0148  |       | 1.3e+09   | D    |     68.9947         -     113.251         |          2s.2p4 - 2p5             |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |          T833LS |         |
P IV      |          28.2301  |                   |    90 |           |      |                                           |                                   |            |           |         |    |                 |  L4144  |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P IX      |                   |          28.3252  |       | 5.8e+09   | D    |      0.00           -      43.7716        |         2s2.2p3 - 2s.2p4          |  4S* - 4P  | 3/2 - 1/2 |  4 - 2  |    |          T833LS |         |
P IX      |                   |          28.5365  |       | 5.7e+09   | D    |      0.00           -      43.4477        |         2s2.2p3 - 2s.2p4          |  4S* - 4P  | 3/2 - 3/2 |  4 - 4  |    |          T833LS |         |
P IX      |                   |          28.6694  |       | 1.2e+09   | D    |     68.9947         -     112.241         |          2s.2p4 - 2p5             |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |          T833LS |         |
P IX      |                   |          28.9509  |       | 5.4e+09   | D    |      0.00           -      42.8256        |         2s2.2p3 - 2s.2p4          |  4S* - 4P  | 3/2 - 5/2 |  4 - 6  |    |          T833LS |         |
P IX      |                   |          30.3017  |       | 5.5e+09   | D    |     72.3349         -     113.251         |          2s.2p4 - 2p5             |  2P  - 2P* | 3/2 - 1/2 |  4 - 2  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P IV      |          30.4996  |                   |    90 |           |      |                                           |                                   |            |           |         |    |                 |  L4144  |
P IX      |                   |          30.8880  |       | 1.00e+10  | D    |     73.1115         -     113.251         |          2s.2p4 - 2p5             |  2P  - 2P* | 1/2 - 1/2 |  2 - 2  |    |          T833LS |         |
P X       |                   |          30.9199  |       | 1.8e+09   | D    |      0.00           -      40.0985        |         2s2.2p2 - 2s.2p3          |  3P  - 3D* |   0 - 1   |  1 - 3  |    |          T833LS |         |
P V       |          31.058   |                   |   110 |           |      |                                           |                                   |            |           |         |    |                 |  L2613  |
P IX      |                   |          31.0690  |       | 1.30e+10  | D    |     72.3349         -     112.241         |          2s.2p4 - 2p5             |  2P  - 2P* | 3/2 - 3/2 |  4 - 4  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P V       |          31.134   |                   |   150 |           |      |                                           |                                   |            |           |         |    |                 |  L2613  |
P X       |                   |          31.2770  |       | 1.3e+09   | D    |      0.4577         -      40.0985        |         2s2.2p2 - 2s.2p3          |  3P  - 3D* |   1 - 1   |  3 - 3  |    |          T833LS |         |
P X       |                   |          31.2980  |       | 2.4e+09   | D+   |      0.4577         -      40.0718        |         2s2.2p2 - 2s.2p3          |  3P  - 3D* |   1 - 2   |  3 - 5  |    |          T833LS |         |
P XI      |                   |          31.5650  |       | 2.3e+09   | D    |      0.00           -      39.2791        |          2s2.2p - 2s.2p2          |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |          T833LS |         |
P IX      |                   |          31.6857  |       | 2.4e+09   | D    |     73.1115         -     112.241         |          2s.2p4 - 2p5             |  2P  - 2P* | 1/2 - 3/2 |  2 - 4  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P X       |                   |          31.8095  |       | 8.4e+07   | E    |      1.121          -      40.0985        |         2s2.2p2 - 2s.2p3          |  3P  - 3D* |   2 - 1   |  5 - 3  |    |          T833LS |         |
P X       |                   |          31.8280  |       | 3.1e+09   | D+   |      1.121          -      40.0759        |         2s2.2p2 - 2s.2p3          |  3P  - 3D* |   2 - 3   |  5 - 7  |    |          T833LS |         |
P X       |                   |          31.8313  |       | 7.6e+08   | D    |      1.121          -      40.0718        |         2s2.2p2 - 2s.2p3          |  3P  - 3D* |   2 - 2   |  5 - 5  |    |          T833LS |         |
P XI      |                   |          32.5514  |       | 2.6e+09   | D    |      1.203          -      39.2912        |          2s2.2p - 2s.2p2          |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |          T833LS |         |
P XI      |                   |          32.5618  |       | 4.3e+08   | E    |      1.203          -      39.2791        |          2s2.2p - 2s.2p2          |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |          T833LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P XII     |                   |          32.7230  |       | 1.5e+09   | D+   |     23.2706         -      61.1595        |       1s2.2s.2p - 1s2.2p2         |  3P* - 3P  |   1 - 2   |  3 - 5  |    |          T833LS |         |
P V       |          32.847   |          32.8466  |   300 | 1.1e+09   | D+   |      0.00           -      37.746402      |          2p6.3s - 2p6.4p          |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T1619interp,LS |  L2613  |
P V       |          32.878   |          32.8773  |   250 | 1.1e+09   | D+   |      0.00           -      37.711139      |          2p6.3s - 2p6.4p          |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T1619interp,LS |  L2613  |
P XII     |                   |          33.5088  |       | 4.3e+09   | D+   |     24.1591         -      61.1595        |       1s2.2s.2p - 1s2.2p2         |  3P* - 3P  |   2 - 2   |  5 - 5  |    |          T833LS |         |
P V       |          34.723   |                   |   150 |           |      |                                           |                                   |            |           |         |    |                 |  L2613  |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P V       |          34.820   |                   |   200 |           |      |                                           |                                   |            |           |         |    |                 |  L2613  |
P IV      |          35.9293  |                   |   120 |           |      |                                           |                                   |            |           |         |    |                 |  L4144  |
P IV      |          35.9899  |                   |   150 |           |      |                                           |                                   |            |           |         |    |                 |  L4144  |
P IV      |          36.1514  |                   |   120 |           |      |                                           |                                   |            |           |         |    |                 |  L4144  |
P IV      |          36.1629  |                   |   150 |           |      |                                           |                                   |            |           |         |    |                 |  L4144  |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P IV      |          37.1299  |          37.1295  |   120 | 1.1e+09   | D    |      8.420762       -      41.813128      |           3s.3p - 3s.5d           |  3P* - 3D  |   0 - 1   |  1 - 3  |    |         T1261LS |  L4144  |
P IV      |          37.1504  |          37.1501  |   150 | 1.5e+09   | D    |      8.449086       -      41.822956      |           3s.3p - 3s.5d           |  3P* - 3D  |   1 - 2   |  3 - 5  |    |         T1261LS |  L4144  |
P IV      |                   |          37.1610  |       | 8.5e+08   | D    |      8.449086       -      41.813128      |           3s.3p - 3s.5d           |  3P* - 3D  |   1 - 1   |  3 - 3  |    |         T1261LS |         |
P IV      |          37.2001  |          37.2000  |   200 | 2.0e+09   | D    |      8.507196       -      41.836266      |           3s.3p - 3s.5d           |  3P* - 3D  |   2 - 3   |  5 - 7  |    |         T1261LS |  L4144  |
P IV      |                   |          37.2149  |       | 5.1e+08   | D    |      8.507196       -      41.822956      |           3s.3p - 3s.5d           |  3P* - 3D  |   2 - 2   |  5 - 5  |    |         T1261LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P IV      |                   |          37.2259  |       | 5.6e+07   | E    |      8.507196       -      41.813128      |           3s.3p - 3s.5d           |  3P* - 3D  |   2 - 1   |  5 - 3  |    |         T1261LS |         |
P V       |          37.856   |                   |   110 |           |      |                                           |                                   |            |           |         |    |                 |  L2613  |
P IV      |          38.8318  |          38.8315  |   500 | 1.5e+09   | D    |      0.00           -      31.928739      |         2p6.3s2 - 3s.4p           |  1S  - 1P* |   0 - 1   |  1 - 3  |    |           T1261 |  L4144  |
P V       |          38.950   |                   |   250 |           |      |                                           |                                   |            |           |         |    |                 |  L2613  |
P V       |          39.070   |                   |   300 |           |      |                                           |                                   |            |           |         |    |                 |  L2613  |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P V       |                   |          41.0019  |       | 1.6e+09   | C    |     25.317446       -      55.556104      |          2p6.3d - 2p6.6f          |  2D  - 2F* | 3/2 - 5/2 |  4 - 6  |    |  T1619interp,LS |         |
P V       |          41.003   |          41.0031  |  150* | 1.1e+08   | C    |     25.318321       -      55.556104      |          2p6.3d - 2p6.6f          |  2D  - 2F* | 5/2 - 5/2 |  6 - 6  |    |  T1619interp,LS |  L2613  |
P V       |          41.003   |          41.0031  |  150* | 1.7e+09   | C    |     25.318321       -      55.556104      |          2p6.3d - 2p6.6f          |  2D  - 2F* | 5/2 - 7/2 |  6 - 8  |    |  T1619interp,LS |  L2613  |
P IV      |          41.4604  |                   |   120 |           |      |                                           |                                   |            |           |         |    |                 |  L4144  |
P IV      |          41.4999  |                   |   200 |           |      |                                           |                                   |            |           |         |    |                 |  L4144  |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P IV      |          41.5805  |                   |   250 |           |      |                                           |                                   |            |           |         |    |                 |  L4144  |
P IV      |                   |          42.9471  |       | 1.1e+07   | E    |     13.041949       -      41.911007      |           3s.3p - 3s.5d           |  1P* - 1D  |   1 - 2   |  3 - 5  |    |           T1261 |         |
P IV      |                   |          44.3804  |       | 4.2e+07   | E    |      8.420762       -      36.357489      |           3s.3p - 3s.4d           |  3P* - 3D  |   0 - 1   |  1 - 3  |    |         T1261LS |         |
P IV      |          44.4245  |          44.4245  |   250 | 5.5e+07   | E    |      8.449086       -      36.358077      |           3s.3p - 3s.4d           |  3P* - 3D  |   1 - 2   |  3 - 5  |    |         T1261LS |  L4144  |
P IV      |                   |          44.4254  |       | 3.2e+07   | E    |      8.449086       -      36.357489      |           3s.3p - 3s.4d           |  3P* - 3D  |   1 - 1   |  3 - 3  |    |         T1261LS |         |
          |                   |                   |       |           |      |                                           |                                   |            |           |         |    |                 |         |
P IV      |          44.5158  |          44.5156  |   300 | 7.5e+07   | E    |      8.507196       -      36.359017      |           3s.3p - 3s.4d           |  3P* - 3D  |   2 - 3   |  5 - 7  |    |         T1261LS |  L4144  |
